segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
IS0	tijb7ij	S01-chunked_aaq7-5-5-12	160	1	0.08	2.1	2.18	0.0207	0.0792	24.1243	457.862	1753.735	2777.816	218.33	436.66	-1.6143	51.8547	53.4767	-1.6143	53.4767	26.0373	25.7264	25.1896	26.576	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aaq7-5-5-12	160	2	0.08	2.18	2.26	0.0415	0.0792	21.5032	944.136	2267.251	3176.586	167.422	334.844	7.6381	55.4275	47.7795	21.8417	33.5613	24.1507	31.2505	30.3399	25.0569	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aaq7-5-5-15	490	1	0.245	2.44	2.685	NA	0.0792	NA	1108.178	3408.138	3674.894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aaq7-5-5-15	490	2	0.245	2.685	2.93	NA	0.0792	NA	1098.576	3767.585	3818.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aaq-6-2-3	30	1	0.015	0.51	0.525	NA	0.1069	NA	1673.648	2909.999	4736.381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aaq-6-2-3	30	2	0.015	0.525	0.54	NA	0.1069	NA	1747.198	3054.009	4505.047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aaq-6-3-6	190	1	0.095	0.86	0.955	0.0059	0.1069	12.7452	516.134	2345.869	3238.181	242.157	484.314	-5.5253	56.065	61.6134	-5.5253	61.6134	17.5535	38.4529	20.7865	35.2115	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aaq-6-3-6	190	2	0.095	0.955	1.05	0.0192	0.1069	26.5278	572.259	2438.129	3065.131	271.923	543.846	-6.4914	53.3056	59.8186	-6.4914	59.8186	13.7455	39.5228	15.8157	37.448	132.919	480.015	T	KG	T	KG	S01
AL1	aaq	S01-chunked_aaq-6-5-10	133.66	1	0.06683	1.793	1.86	0.0155	0.1069	27.414	1075.274	1788.155	3071.067	218.219	436.438	4.9451	51.5498	46.5991	-0.2705	51.8206	5.801	45.7423	23.8237	27.7046	132.919	480.015	GS	QA	GS	QA	S01
AL1	aaq	S01-chunked_aaq-6-5-10	133.66	2	0.06683	1.86	1.926	0.0154	0.1069	26.7845	996.876	1650.722	3110.755	267.58	535.16	5.4288	54.4224	48.9862	-1.3693	55.7937	3.1578	51.2602	22.0012	32.3963	132.919	480.015	GS	QA	GS	QA	S01
