segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	min.pitch.loc	min.pitch.loc.perc	max.pitch.Hz	max.pitch.ERB	max.pitch.loc	max.pitch.loc.perc	pitch.range.min	pitch.range.max	speaker
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	8	0.0112	100.475	222.926	5.8353	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AST1	qálaq-qálq-g-l	qa8lq	1509.525	S01-19	18	9	0.0112	100.475	221.911	5.8149	215.064	5.6751	206.151	5.4920	31.029	0.309	223.183	5.8405	85.866	0.855	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	1	0.0056	50.000	243.904	6.2493	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	2	0.0056	50.000	244.827	6.2672	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	3	0.0056	50.000	244.428	6.2594	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	4	0.0056	50.000	242.586	6.2238	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	5	0.0056	50.000	239.436	6.1625	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	6	0.0056	50.000	235.317	6.0818	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	7	0.0056	50.000	230.705	5.9907	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	8	0.0056	50.000	226.170	5.9004	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	9	0.0056	50.000	222.300	5.8227	236.630	6.1064	220.697	5.7904	50.000	1.000	245.016	6.2708	9.587	0.192	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	1	0.0075	67.291	268.922	6.7222	274.025	6.8158	264.971	6.6489	0	0	279.805	6.9215	25.517	0.379	148.9578	479.6016	S01
