segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	max.pitch.Hz	max.pitch.ERB	pitch.range.min	pitch.range.max	speaker
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	8	0.0056	50.000	225.771	5.8922	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS0	xajab7-xajab7-g-m	xajab7	1320.000	S01-2	16	9	0.0056	50.000	215.467	5.6829	240.178	6.1738	206.889	5.5067	257.197	6.5033	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	1	0.0075	67.291	282.416	6.9683	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	2	0.0075	67.291	284.440	7.0052	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	3	0.0075	67.291	282.666	6.9732	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	4	0.0075	67.291	281.797	6.9575	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	5	0.0075	67.291	280.372	6.9318	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	6	0.0075	67.291	278.449	6.8969	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	7	0.0075	67.291	276.349	6.8586	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	8	0.0075	67.291	270.999	6.7605	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
AS1	xajab7-xajab7-g-m	xajab7	1462.709	S01-2	18	9	0.0075	67.291	259.244	6.5415	277.415	6.8771	254.985	6.4614	285.635	7.0267	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	1	0.0078	70.340	271.291	6.7655	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	2	0.0078	70.340	273.350	6.8038	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	3	0.0078	70.340	273.203	6.8011	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	4	0.0078	70.340	270.489	6.7512	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-g-m	jte8lb7	2534.143	S01-20	20	5	0.0078	70.340	267.783	6.7012	267.827	6.7016	252.993	6.4237	279.050	6.9077	148.9578	479.6016	S01
